sensor_index,date_created,private,location_type,uptime,position_rating,Y,X
142860,1642451270,0,1,18822,5,44.046356,-121.31516
11792,1528825470,0,0,16097,5,39.113827,-108.55637
142870,1642451295,0,1,10799,5,39.312378,-120.38381
142878,1642452071,0,1,6965,5,40.673016,-111.79858
142882,1642452093,0,1,1206,5,44.553024,-123.31042
142890,1642452158,0,1,1752,5,38.94118,-121.101555
142888,1642452147,0,1,18850,5,50.67389,-120.32225
142894,1642452228,0,1,18829,5,45.45292,-122.62223
142892,1642452173,0,1,18823,5,44.053658,-121.352234
142896,1642452233,0,1,18828,4,34.009403,-117.87895
142906,1642537300,0,0,2100,5,39.839783,-83.07625
142904,1642535584,0,0,18877,5,48.421642,-123.38318
11838,1528840883,0,1,22,5,39.996513,-83.01782
11840,1528840933,0,1,50,5,39.996437,-83.01818
142914,1642539836,0,0,18928,5,40.694447,-73.966156
11842,1528841060,0,0,66,5,41.79469,-123.373665
142912,1642539827,0,0,3676,5,53.486084,-113.46383
11844,1528841084,0,0,16146,5,41.31301,-122.312805
11846,1528841170,0,0,784,5,40.30292,-120.532616
11848,1528841209,0,0,18887,5,41.251923,-122.13784
11852,1528841213,0,0,18885,5,38.190647,-120.66634
142926,1642539874,0,0,18827,5,44.988106,-93.310524
11856,1528841253,0,0,18847,5,35.300823,-120.659546
142930,1642539885,0,0,18811,5,47.659416,-117.425476
11866,1528915244,0,0,1102,5,41.963287,-121.92443
142936,1642539908,0,0,9727,5,44.9534,-93.31707
142942,1642539924,0,0,18819,5,25.680056,-100.3088
11872,1528915338,0,0,8883,5,41.226906,-122.273705
142946,1642610865,0,0,26,0,51.277943,-2.782218
11876,1528915359,0,0,972,5,41.95589,-121.47909
142950,1642611961,0,0,18826,5,40.27438,-111.72122
11878,1528915363,0,0,18893,5,41.5838,-121.9133
142952,1642621829,0,1,9569,5,40.407207,-79.92686
11884,1528915396,0,0,12892,5,41.645554,-122.52496
142962,1642633875,0,1,18799,5,-33.53562,150.77425
142960,1642633854,0,1,18783,5,48.61978,-123.008766
11892,1528916229,0,0,18889,5,41.610416,-122.84309
142964,1642633968,0,0,18877,5,37.24974,-121.81551
11896,1528920148,0,0,6687,5,40.67708,-121.42751
142970,1642634213,0,1,7565,5,39.242313,-120.02513
142968,1642634207,0,1,9745,5,37.85685,-122.24033
142972,1642634236,0,1,726,0,39.304867,-120.8825
11904,1528920198,0,0,2932,5,40.70865,-122.63577
142978,1642634814,0,1,3914,5,38.86767,-120.00495
11908,1528928603,0,1,820,5,38.79512,-77.32578
11910,1528928645,0,0,18883,5,34.751293,-92.42449
11916,1528928899,0,0,222,0,41.301006,-123.13801
142990,1642634900,0,1,13624,5,37.83013,-122.25693
142988,1642634876,0,1,626,5,44.066418,-123.06737
11922,1528929007,0,1,540,5,40.55838,-122.35191
142992,1642634908,0,1,18921,5,38.849792,-120.01672
11924,1528929038,0,0,6845,5,40.628807,-121.91061
11926,1528929060,0,0,414,5,41.911167,-122.56183
142996,1642635179,0,1,18944,5,38.722427,-120.59017
11928,1528995135,0,0,18891,5,37.361973,-118.39129
11934,1528995199,0,0,10,5,38.50457,-120.759056
143004,1642636948,0,1,18945,5,39.239723,-119.9327
11936,1528995205,0,0,4405,5,38.545288,-120.74328
143010,1642637189,0,1,18829,5,39.77487,-120.63398
11944,1528995251,0,1,18819,5,37.49939,-119.98443
143018,1642637310,0,1,1094,5,47.70957,-121.362434
11948,1528995261,0,0,18892,5,37.423794,-120.10115
143020,1642637870,0,1,18817,5,39.292686,-120.11483
143030,1642638845,0,1,2314,5,39.244823,-121.20984
11962,1529000835,0,0,7756,0,35.79159,-120.74353
11964,1529000837,0,0,9017,5,37.488384,-119.96771
11966,1529000844,0,0,18883,5,37.67581,-119.77936
143040,1642713907,0,1,4514,5,45.452984,-122.627335
11972,1529000878,0,0,8745,5,38.4808,-120.84835
11978,1529000918,0,0,1050,5,32.611195,-115.29396
11984,1529000958,0,0,14800,0,37.28924,-107.75732
11986,1529000960,0,0,18919,5,37.33453,-107.84292
11988,1529000970,0,0,18927,5,38.05897,-122.141785
11990,1529001026,0,0,494,5,38.058086,-122.157555
11996,1529005649,0,0,4012,5,19.704615,-155.9838
12000,1529005662,0,0,4348,5,34.2553,-116.82176
143074,1642791896,0,0,5647,5,33.99776,-117.4188
12006,1529005732,0,0,18881,5,40.475708,-111.827126
12010,1529005762,0,0,18880,5,50.738544,-120.70309
12014,1529005785,0,0,3960,5,47.585556,-122.04841
12016,1529005797,0,0,7766,5,38.795223,-77.32568
143090,1642792287,0,0,5647,5,33.99776,-117.4188
